horizon_hours,model,MAE,RMSE,R2
1,Persistence,8.445,13.269,0.9443
1,RandomForest,6.482,10.862,0.9627
1,HistGradientBoosting,5.969,9.711,0.9702
2,Persistence,16.07,23.992,0.8183
2,RandomForest,11.785,18.004,0.8977
2,HistGradientBoosting,10.672,15.978,0.9194
3,Persistence,22.826,33.137,0.6537
3,RandomForest,16.793,24.252,0.8145
3,HistGradientBoosting,14.361,20.785,0.8637
4,Persistence,28.697,40.746,0.4766
4,RandomForest,19.001,26.667,0.7758
4,HistGradientBoosting,18.848,26.581,0.7773
5,Persistence,33.631,46.881,0.3073
5,RandomForest,25.347,37.911,0.547
5,HistGradientBoosting,23.43,34.035,0.6349
6,Persistence,37.423,51.587,0.1614
6,RandomForest,27.2,39.982,0.4963
6,HistGradientBoosting,25.767,37.562,0.5554
7,Persistence,40.048,54.884,0.0505
7,RandomForest,29.373,43.233,0.4109
7,HistGradientBoosting,28.834,42.19,0.439
8,Persistence,41.948,56.903,-0.0212
8,RandomForest,30.381,43.344,0.4075
8,HistGradientBoosting,29.174,41.702,0.4516
9,Persistence,43.22,57.957,-0.0599
9,RandomForest,31.117,43.534,0.402
9,HistGradientBoosting,32.339,46.009,0.3321
10,Persistence,44.007,58.545,-0.0817
10,RandomForest,30.446,43.22,0.4105
10,HistGradientBoosting,32.395,46.14,0.3281
11,Persistence,44.617,59.1,-0.1023
11,RandomForest,30.809,43.48,0.4034
11,HistGradientBoosting,31.615,44.518,0.3745
12,Persistence,45.174,59.74,-0.1263
12,RandomForest,31.337,44.352,0.3792
12,HistGradientBoosting,31.998,45.182,0.3558
13,Persistence,45.776,60.481,-0.1535
13,RandomForest,31.485,44.638,0.3716
13,HistGradientBoosting,32.159,46.652,0.3137
14,Persistence,46.308,61.306,-0.1835
14,RandomForest,32.109,46.456,0.3204
14,HistGradientBoosting,34.373,50.398,0.2002
15,Persistence,46.642,62.085,-0.2111
15,RandomForest,32.495,47.329,0.2962
15,HistGradientBoosting,34.902,51.415,0.1694
16,Persistence,46.545,62.448,-0.2224
16,RandomForest,33.469,49.76,0.2239
16,HistGradientBoosting,33.353,47.959,0.279
17,Persistence,45.991,62.02,-0.2028
17,RandomForest,33.251,48.746,0.2569
17,HistGradientBoosting,33.823,50.01,0.2179
18,Persistence,44.843,60.616,-0.1465
18,RandomForest,33.0,49.151,0.2462
18,HistGradientBoosting,33.981,51.023,0.1877
19,Persistence,42.877,58.276,-0.0576
19,RandomForest,32.155,47.481,0.2979
19,HistGradientBoosting,33.258,50.127,0.2175
20,Persistence,40.126,55.232,0.0515
20,RandomForest,32.179,47.313,0.304
20,HistGradientBoosting,33.023,49.346,0.2429
21,Persistence,36.951,51.813,0.1665
21,RandomForest,31.832,46.877,0.3178
21,HistGradientBoosting,32.61,50.013,0.2234
22,Persistence,33.69,48.499,0.2706
22,RandomForest,32.029,47.776,0.2922
22,HistGradientBoosting,32.746,50.242,0.2173
23,Persistence,30.727,46.037,0.3435
23,RandomForest,32.31,48.273,0.2782
23,HistGradientBoosting,34.245,51.482,0.179
24,Persistence,29.461,45.424,0.3614
24,RandomForest,33.708,50.61,0.2073
24,HistGradientBoosting,34.191,52.293,0.1537
25,Persistence,31.393,47.529,0.3012
25,RandomForest,33.983,51.869,0.1678
25,HistGradientBoosting,35.27,53.166,0.1256
26,Persistence,35.078,51.256,0.1876
26,RandomForest,36.317,55.996,0.0304
26,HistGradientBoosting,35.432,53.487,0.1153
27,Persistence,39.191,55.612,0.0442
27,RandomForest,38.207,58.044,-0.0413
27,HistGradientBoosting,37.937,58.195,-0.0467
28,Persistence,43.124,59.885,-0.1074
28,RandomForest,39.91,60.685,-0.1372
28,HistGradientBoosting,42.93,64.777,-0.2957
29,Persistence,46.545,63.654,-0.2507
29,RandomForest,41.589,62.317,-0.1987
29,HistGradientBoosting,43.208,64.891,-0.2998
30,Persistence,49.139,66.651,-0.3714
30,RandomForest,41.134,61.738,-0.1767
30,HistGradientBoosting,42.076,63.443,-0.2425
31,Persistence,50.843,68.735,-0.4591
31,RandomForest,41.586,61.935,-0.1847
31,HistGradientBoosting,41.637,62.777,-0.2171
32,Persistence,51.812,69.926,-0.5106
32,RandomForest,40.942,60.91,-0.1462
32,HistGradientBoosting,41.965,62.84,-0.22
33,Persistence,52.236,70.429,-0.5327
33,RandomForest,41.246,61.466,-0.1674
33,HistGradientBoosting,41.6,62.251,-0.1975
34,Persistence,52.378,70.601,-0.5402
34,RandomForest,42.15,62.628,-0.212
34,HistGradientBoosting,41.744,62.5,-0.2071
35,Persistence,52.676,70.786,-0.5481
35,RandomForest,41.225,61.184,-0.1566
35,HistGradientBoosting,39.159,57.779,-0.0314
36,Persistence,53.16,71.075,-0.5605
36,RandomForest,38.96,57.428,-0.0188
36,HistGradientBoosting,39.22,58.416,-0.0541
37,Persistence,53.812,71.471,-0.578
37,RandomForest,39.462,58.42,-0.0543
37,HistGradientBoosting,40.426,60.838,-0.1434
38,Persistence,54.516,71.974,-0.6002
38,RandomForest,39.227,57.843,-0.0335
38,HistGradientBoosting,39.942,59.758,-0.1031
39,Persistence,55.025,72.475,-0.6225
39,RandomForest,40.619,61.084,-0.1525
39,HistGradientBoosting,40.461,60.681,-0.1374
40,Persistence,55.154,72.665,-0.6307
40,RandomForest,38.775,57.176,-0.0096
40,HistGradientBoosting,41.011,61.285,-0.1599
41,Persistence,54.754,72.221,-0.6103
41,RandomForest,39.534,57.559,-0.0228
41,HistGradientBoosting,40.551,59.148,-0.0801
42,Persistence,53.706,70.989,-0.5551
42,RandomForest,38.945,56.993,-0.0023
42,HistGradientBoosting,39.969,58.168,-0.0441
43,Persistence,51.913,68.995,-0.468
43,RandomForest,39.634,58.272,-0.0471
43,HistGradientBoosting,39.938,58.052,-0.0392
44,Persistence,49.643,66.443,-0.3602
44,RandomForest,39.623,57.985,-0.036
44,HistGradientBoosting,39.462,57.562,-0.0209
45,Persistence,47.132,63.648,-0.2467
45,RandomForest,38.338,55.985,0.0354
45,HistGradientBoosting,38.968,56.549,0.0159
46,Persistence,44.456,60.967,-0.1423
46,RandomForest,37.661,54.844,0.0757
46,HistGradientBoosting,39.694,58.708,-0.0592
47,Persistence,42.23,58.965,-0.0668
47,RandomForest,37.908,55.838,0.0433
47,HistGradientBoosting,38.932,56.686,0.0141
48,Persistence,41.553,58.334,-0.0422
