feature,importance,horizon_hours
aqi_pm25_est,0.23248696982192993,24
pm2_5_ugm3,0.21408293350516924,24
temperature_2m_c,0.07942263347887682,24
day_of_year,0.04612226660831926,24
haryana_fire_count_last_72h,0.044966965108471625,24
pm25_avg_72h,0.028755620741330517,24
total_column_integrated_water_vapour_kgm2,0.027805618970795587,24
pm25_avg_48h,0.018522007696802123,24
temperature_850hpa_c,0.01595689065588568,24
pressure_trend_24h,0.01401569373631422,24
pm25_avg_168h,0.013791239408983774,24
pm25_lag_48h,0.010539808916277784,24
day,0.009289519391345126,24
pm25_lag_72h,0.008638261759442475,24
boundary_layer_height_m,0.007881419916769545,24
pm25_lag_24h,0.007203077117727497,24
pm10_ugm3,0.006351037036596222,24
inversion_strength_c_lag_24h,0.005653307572145256,24
pm25_avg_24h,0.005612689754213194,24
inversion_strength_c,0.004871810848886118,24
pm25_x_low_pbl,0.004813313462654875,24
fire_count_last_24h,0.004790683793637761,24
punjab_fire_count_last_72h,0.004739187641276611,24
wet_bulb_temperature_2m_c,0.004734154862034994,24
boundary_layer_height_m_lag_1h,0.004681165198154305,24
dew_point_2m_c,0.004398542957753784,24
delhi_ncr_fire_count_last_24h,0.0043229019653148555,24
boundary_layer_height_m_lag_24h,0.004047327352981671,24
temperature_975hpa_c,0.0039638878179127125,24
upwind_stubble_fire_count_last_72h,0.003940366141039234,24
sulphur_dioxide_ugm3,0.003920465098589533,24
wind_u,0.0038893797217343074,24
ozone_ugm3,0.0036913051567783618,24
pm25_diff_6h,0.0036424714921427324,24
upwind_stubble_fire_count_last_24h,0.0035934838049306653,24
punjab_fire_count_last_48h,0.003592043442765707,24
fire_x_wind,0.003537045357930591,24
pm25_lag_6h,0.0035194297770668598,24
pm25_lag_36h,0.003342505087619374,24
punjab_fire_count_last_24h,0.003339194939217479,24
cloud_cover_pct,0.0031296253202965306,24
day_of_week,0.0029217099691950955,24
pm25_ratio_vs_72h_avg,0.0027101034167005254,24
haryana_fire_count_last_24h,0.0026865279249734574,24
