timestamp,forecast_hour,predicted_pm25,predicted_aqi,aqi_category
2025-12-29 00:00:00,1,169.07,338.4,Very Poor
2025-12-29 01:00:00,2,158.12,330.0,Very Poor
2025-12-29 02:00:00,3,166.99,336.8,Very Poor
2025-12-29 03:00:00,4,151.81,325.2,Very Poor
2025-12-29 04:00:00,5,137.99,314.7,Very Poor
2025-12-29 05:00:00,6,127.93,307.0,Very Poor
2025-12-29 06:00:00,7,124.48,304.4,Very Poor
2025-12-29 07:00:00,8,108.68,262.6,Poor
2025-12-29 08:00:00,9,96.46,222.3,Poor
2025-12-29 09:00:00,10,80.61,169.0,Moderate
2025-12-29 10:00:00,11,68.92,130.4,Moderate
2025-12-29 11:00:00,12,97.11,224.5,Poor
2025-12-29 12:00:00,13,104.15,247.7,Poor
2025-12-29 13:00:00,14,90.6,203.0,Poor
2025-12-29 14:00:00,15,120.07,301.1,Very Poor
2025-12-29 15:00:00,16,131.62,309.8,Very Poor
2025-12-29 16:00:00,17,116.92,289.8,Poor
2025-12-29 17:00:00,18,115.46,285.0,Poor
2025-12-29 18:00:00,19,131.58,309.8,Very Poor
2025-12-29 19:00:00,20,127.52,306.7,Very Poor
2025-12-29 20:00:00,21,113.34,278.0,Poor
2025-12-29 21:00:00,22,111.89,273.2,Poor
2025-12-29 22:00:00,23,101.16,237.8,Poor
2025-12-29 23:00:00,24,103.32,245.0,Poor
2025-12-30 00:00:00,25,104.85,250.0,Poor
2025-12-30 01:00:00,26,105.74,252.9,Poor
2025-12-30 02:00:00,27,85.51,185.2,Moderate
2025-12-30 03:00:00,28,56.77,94.7,Satisfactory
2025-12-30 04:00:00,29,56.34,94.0,Satisfactory
2025-12-30 05:00:00,30,64.78,116.8,Moderate
2025-12-30 06:00:00,31,67.97,127.3,Moderate
2025-12-30 07:00:00,32,69.19,131.3,Moderate
2025-12-30 08:00:00,33,72.9,143.6,Moderate
2025-12-30 09:00:00,34,74.51,148.9,Moderate
2025-12-30 10:00:00,35,67.81,126.8,Moderate
2025-12-30 11:00:00,36,76.87,156.7,Moderate
2025-12-30 12:00:00,37,69.02,130.8,Moderate
2025-12-30 13:00:00,38,92.78,210.2,Poor
2025-12-30 14:00:00,39,84.62,182.3,Moderate
2025-12-30 15:00:00,40,84.89,183.1,Moderate
2025-12-30 16:00:00,41,105.08,250.8,Poor
2025-12-30 17:00:00,42,115.66,285.7,Poor
2025-12-30 18:00:00,43,110.1,267.3,Poor
2025-12-30 19:00:00,44,104.14,247.6,Poor
2025-12-30 20:00:00,45,108.75,262.9,Poor
2025-12-30 21:00:00,46,92.51,209.3,Poor
2025-12-30 22:00:00,47,107.27,258.0,Poor
2025-12-30 23:00:00,48,104.78,249.8,Poor
2025-12-31 00:00:00,49,101.65,239.5,Poor
2025-12-31 01:00:00,50,90.5,202.6,Poor
2025-12-31 02:00:00,51,79.78,166.3,Moderate
2025-12-31 03:00:00,52,82.83,176.3,Moderate
2025-12-31 04:00:00,53,77.87,160.0,Moderate
2025-12-31 05:00:00,54,90.12,201.4,Poor
2025-12-31 06:00:00,55,65.29,118.4,Moderate
2025-12-31 07:00:00,56,48.2,80.7,Satisfactory
2025-12-31 08:00:00,57,42.78,71.9,Satisfactory
2025-12-31 09:00:00,58,52.41,87.6,Satisfactory
2025-12-31 10:00:00,59,55.39,92.5,Satisfactory
2025-12-31 11:00:00,60,54.36,90.8,Satisfactory
2025-12-31 12:00:00,61,68.92,130.4,Moderate
2025-12-31 13:00:00,62,68.0,127.4,Moderate
2025-12-31 14:00:00,63,75.86,153.3,Moderate
2025-12-31 15:00:00,64,82.14,174.1,Moderate
2025-12-31 16:00:00,65,97.19,224.7,Poor
2025-12-31 17:00:00,66,90.26,201.9,Poor
2025-12-31 18:00:00,67,91.09,204.6,Poor
2025-12-31 19:00:00,68,108.74,262.8,Poor
2025-12-31 20:00:00,69,82.27,174.5,Moderate
2025-12-31 21:00:00,70,92.43,209.0,Poor
2025-12-31 22:00:00,71,81.99,173.6,Moderate
2025-12-31 23:00:00,72,88.29,194.4,Moderate
